,Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
1,2014/8/27 11:29,37,1,46,IL,NA,1,1,2,5,1,2,3,2,2,3,3,3,2,2,2,3,2,1,3,1,NA
2,2014/8/27 11:29,44,2,46,IN,NA,1,0,3,6,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,NA
3,2014/8/27 11:29,32,2,8,NA,NA,1,0,3,5,1,2,1,1,2,2,1,2,2,2,3,3,3,3,2,1,NA
4,2014/8/27 11:29,31,2,45,NA,NA,2,1,2,3,1,2,1,3,2,2,2,2,3,3,2,1,1,1,2,2,NA
5,2014/8/27 11:30,31,2,46,TX,NA,1,0,1,2,2,2,3,1,1,1,1,1,2,2,2,3,3,3,1,1,NA
6,2014/8/27 11:31,33,2,46,TN,NA,2,0,4,5,1,2,3,2,2,1,1,1,2,2,3,3,2,1,1,1,NA
7,2014/8/27 11:31,35,1,46,MI,NA,2,1,4,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,NA
8,2014/8/27 11:32,39,2,8,NA,NA,1,0,1,1,2,2,1,3,2,2,3,1,2,2,1,1,2,2,2,1,NA
9,2014/8/27 11:32,42,1,46,IL,NA,2,1,4,2,1,2,3,3,2,2,2,4,1,2,3,3,2,1,2,1,NA
10,2014/8/27 11:32,23,2,8,NA,NA,1,0,1,3,1,2,2,1,1,1,1,1,2,2,3,3,1,1,3,1,NA
11,2014/8/27 11:32,31,2,46,OH,NA,1,1,4,5,2,2,2,1,2,2,1,1,2,2,2,3,2,2,1,1,NA
12,2014/8/27 11:32,29,2,7,NA,NA,1,0,1,2,2,2,2,2,2,2,1,1,2,2,3,3,3,3,1,1,NA
13,2014/8/27 11:33,42,1,46,CA,NA,2,1,4,3,1,1,3,3,2,2,1,2,3,3,3,3,1,1,2,2,NA
14,2014/8/27 11:33,36,2,46,CT,NA,2,0,1,4,1,2,2,2,2,1,1,1,2,2,3,3,2,2,1,1,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.
15,2014/8/27 11:33,27,2,8,NA,NA,1,0,1,5,1,2,2,2,1,1,1,3,2,2,2,2,1,3,3,1,NA
16,2014/8/27 11:34,29,1,46,IL,NA,2,1,3,3,1,2,3,2,2,2,1,3,2,2,3,2,1,1,1,1,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. 
17,2014/8/27 11:34,23,2,45,NA,NA,1,1,4,3,2,2,2,1,1,1,1,5,1,2,2,1,1,1,2,1,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.
18,2014/8/27 11:34,32,2,46,TN,NA,1,1,4,5,1,2,3,3,2,1,1,1,1,2,2,3,2,2,2,1,NA
19,2014/8/27 11:34,46,2,46,MD,2,2,0,4,1,2,2,3,2,3,1,3,5,2,2,3,3,2,3,3,2,NA
20,2014/8/27 11:35,36,2,16,NA,2,2,0,NA,5,2,2,1,1,3,2,3,3,2,2,2,2,1,1,1,1,NA
21,2014/8/27 11:35,29,2,46,NY,1,2,1,4,2,1,2,3,3,2,2,2,2,1,2,2,2,2,2,2,1,NA
22,2014/8/27 11:35,31,2,46,NC,2,1,0,1,1,2,2,1,1,2,2,3,2,2,2,2,2,2,1,3,1,NA
23,2014/8/27 11:35,46,2,46,MA,1,1,1,2,3,2,2,3,3,2,2,1,1,1,2,2,3,2,1,2,1,NA
24,2014/8/27 11:36,41,2,46,IA,1,1,1,1,6,1,1,2,1,2,1,1,1,1,2,1,1,2,3,1,1,NA
25,2014/8/27 11:36,33,2,46,CA,1,2,1,3,3,1,2,3,2,1,3,3,1,2,2,3,3,2,3,1,1,Relatively new job. Ask again later
26,2014/8/27 11:37,35,2,46,TN,1,2,1,4,6,1,1,3,3,2,1,2,5,3,2,2,3,2,3,2,1,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better
27,2014/8/27 11:37,33,2,46,TN,1,1,0,NA,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,NA
28,2014/8/27 11:37,35,1,46,CA,1,2,1,3,5,2,2,3,3,1,1,1,1,2,2,3,3,1,1,3,1,NA
29,2014/8/27 11:38,34,2,46,OH,1,1,1,4,3,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,NA
30,2014/8/27 11:38,37,2,45,NA,1,1,0,4,5,1,2,1,1,2,2,1,4,3,1,2,1,2,1,2,1,NA
31,2014/8/27 11:39,32,2,45,NA,1,1,0,1,5,2,2,1,1,2,2,1,1,3,3,2,2,2,1,2,1,NA
32,2014/8/27 11:38,31,2,46,PA,2,2,0,3,1,2,2,1,3,2,2,1,2,3,2,1,1,2,2,2,2,NA
33,2014/8/27 11:39,30,2,45,NA,1,2,1,4,4,2,2,2,1,2,2,3,3,1,2,2,3,2,3,1,1,NA
34,2014/8/27 11:39,42,2,46,WA,1,2,1,4,3,2,2,3,3,3,3,3,5,1,2,2,2,1,3,1,1,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
35,2014/8/27 11:40,40,1,46,WI,1,1,1,4,1,1,2,3,3,2,2,1,1,1,2,2,1,2,1,3,1,NA
36,2014/8/27 11:41,27,2,46,NY,1,1,1,3,5,1,2,1,3,2,2,1,5,2,2,3,3,1,1,1,1,NA
37,2014/8/27 11:41,29,2,8,NA,1,1,0,3,1,1,2,1,1,2,2,1,5,3,1,2,1,2,2,1,1,NA
38,2014/8/27 11:41,38,2,35,NA,1,1,0,NA,2,1,2,1,3,2,2,1,3,1,2,2,2,2,1,2,1,NA
39,2014/8/27 11:42,50,2,46,IN,1,1,0,NA,2,1,2,3,3,2,1,1,1,2,2,2,3,2,1,1,1,NA
40,2014/8/27 11:42,35,2,46,TX,1,1,1,3,6,2,2,3,3,2,3,3,5,2,2,3,3,1,1,3,1,NA
41,2014/8/27 11:42,24,2,45,NA,1,1,1,4,5,1,2,1,1,2,2,1,1,1,1,2,1,2,3,2,2,NA
